Well,Strain,Arsenic,Concentration
A01,I2706,III,0
A02,I2706,III,0
A03,I2706,III,0
A04,I2707,III,0
A05,I2707,III,0
A06,I2707,III,0
A07,I2726,III,0
A08,I2726,III,0
A09,I2726,III,0
A10,I2727,III,0
A11,I2727,III,0
A12,I2727,III,0
B01,I2706,III,1
B02,I2706,III,1
B03,I2706,III,1
B04,I2707,III,1
B05,I2707,III,1
B06,I2707,III,1
B07,I2726,III,1
B08,I2726,III,1
B09,I2726,III,1
B10,I2727,III,1
B11,I2727,III,1
B12,I2727,III,1
C01,I2706,III,3
C02,I2706,III,3
C03,I2706,III,3
C04,I2707,III,3
C05,I2707,III,3
C06,I2707,III,3
C07,I2726,III,3
C08,I2726,III,3
C09,I2726,III,3
C10,I2727,III,3
C11,I2727,III,3
C12,I2727,III,3
D01,I2706,III,5
D02,I2706,III,5
D03,I2706,III,5
D04,I2707,III,5
D05,I2707,III,5
D06,I2707,III,5
D07,I2726,III,5
D08,I2726,III,5
D09,I2726,III,5
D10,I2727,III,5
D11,I2727,III,5
D12,I2727,III,5
E01,I2742,III,0
E02,I2742,III,0
E03,I2742,III,0
E04,I2745,III,0
E05,I2745,III,0
E06,I2745,III,0
E07,A2706,III,0
E08,A2706,III,0
E09,A2706,III,0
E10,NEG,III,0
E11,x,III,0
E12,x,III,0
F01,I2742,III,1
F02,I2742,III,1
F03,I2742,III,1
F04,I2745,III,1
F05,I2745,III,1
F06,I2745,III,1
F07,A2706,III,1
F08,A2706,III,1
F09,A2706,III,1
F10,NEG,III,1
F11,x,III,1
F12,x,III,1
G01,I2742,III,3
G02,I2742,III,3
G03,I2742,III,3
G04,I2745,III,3
G05,I2745,III,3
G06,I2745,III,3
G07,A2706,III,3
G08,A2706,III,3
G09,A2706,III,3
G10,NEG,III,3
G11,x,III,3
G12,x,III,3
H01,I2742,III,5
H02,I2742,III,5
H03,I2742,III,5
H04,I2745,III,5
H05,I2745,III,5
H06,I2745,III,5
H07,A2706,III,5
H08,A2706,III,5
H09,A2706,III,5
H10,NEG,III,5
H11,x,III,5
H12,x,III,5
