"","Time","Well","OD590","Strain","Arsenic","Concentration"
"1","0","A01","0","NEG","V",0
"2","1017","A01","0","NEG","V",0
"3","2034","A01","0","NEG","V",0
"4","3050","A01","0","NEG","V",0
"5","4067","A01","0","NEG","V",0
"6","5083","A01","0","NEG","V",0
"7","6099","A01","0","NEG","V",0
"8","7116","A01","0","NEG","V",0
"9","8133","A01","0","NEG","V",0
"10","9150","A01","0","NEG","V",0
"11","10166","A01","0","NEG","V",0
"12","11183","A01","0","NEG","V",0
"13","12200","A01","0","NEG","V",0
"14","13216","A01","0","NEG","V",0
"15","14232","A01","0","NEG","V",0
"16","15249","A01","0","NEG","V",0
"17","16265","A01","0","NEG","V",0
"18","17282","A01","0","NEG","V",0
"19","18299","A01","0","NEG","V",0
"20","19315","A01","0","NEG","V",0
"21","20332","A01","0","NEG","V",0
"22","21348","A01","0","NEG","V",0
"23","22365","A01","0","NEG","V",0
"24","23382","A01","0","NEG","V",0
"25","24399","A01","0","NEG","V",0
"26","25415","A01","0","NEG","V",0
"27","26432","A01","0","NEG","V",0
"28","27449","A01","0","NEG","V",0
"29","28465","A01","0","NEG","V",0
"30","29482","A01","0","NEG","V",0
"31","30498","A01","0","NEG","V",0
"32","31515","A01","0","NEG","V",0
"33","32532","A01","0","NEG","V",0
"34","33548","A01","0","NEG","V",0
"35","34564","A01","0","NEG","V",0
"36","35581","A01","0","NEG","V",0
"37","36597","A01","0","NEG","V",0
"38","37614","A01","0","NEG","V",0
"39","38631","A01","0","NEG","V",0
"40","39647","A01","0","NEG","V",0
"41","40664","A01","0","NEG","V",0
"42","41681","A01","0","NEG","V",0
"43","42698","A01","0","NEG","V",0
"44","43714","A01","0","NEG","V",0
"45","44731","A01","0","NEG","V",0
"46","45747","A01","0","NEG","V",0
"47","46764","A01","0","NEG","V",0
"48","47780","A01","0","NEG","V",0
"49","48798","A01","0","NEG","V",0
"50","49814","A01","0","NEG","V",0
"51","50831","A01","0","NEG","V",0
"52","51848","A01","0","NEG","V",0
"53","52864","A01","0","NEG","V",0
"54","53881","A01","0","NEG","V",0
"55","54898","A01","0","NEG","V",0
"56","55915","A01","0","NEG","V",0
"57","56931","A01","0","NEG","V",0
"58","57948","A01","0","NEG","V",0
"59","58964","A01","0","NEG","V",0
"60","59981","A01","0","NEG","V",0
"61","60998","A01","0","NEG","V",0
"62","62014","A01","0","NEG","V",0
"63","63031","A01","0","NEG","V",0
"64","64047","A01","0","NEG","V",0
"65","65064","A01","0","NEG","V",0
"66","66080","A01","0","NEG","V",0
"67","67097","A01","0","NEG","V",0
"68","68114","A01","0","NEG","V",0
"69","69131","A01","0","NEG","V",0
"70","70148","A01","0","NEG","V",0
"71","71165","A01","0","NEG","V",0
"72","72182","A01","0","NEG","V",0
"73","73199","A01","0","NEG","V",0
"74","74215","A01","0","NEG","V",0
"75","75232","A01","0","NEG","V",0
"76","76248","A01","0","NEG","V",0
"77","77265","A01","0","NEG","V",0
"78","78282","A01","0","NEG","V",0
"79","79299","A01","0","NEG","V",0
"80","80316","A01","0","NEG","V",0
"81","81332","A01","0","NEG","V",0
"82","82349","A01","0","NEG","V",0
"83","83366","A01","0","NEG","V",0
"84","84382","A01","0","NEG","V",0
"85","85399","A01","0","NEG","V",0
"86","86416","A01","0","NEG","V",0
"87","87433","A01","0","NEG","V",0
"88","88450","A01","0","NEG","V",0
"89","89466","A01","0","NEG","V",0
"90","90483","A01","0","NEG","V",0
"91","91500","A01","0","NEG","V",0
"92","92516","A01","0","NEG","V",0
"93","93533","A01","0","NEG","V",0
"94","94550","A01","0","NEG","V",0
"95","95566","A01","0","NEG","V",0
"96","96583","A01","0","NEG","V",0
"97","97600","A01","0","NEG","V",0
"98","98616","A01","0","NEG","V",0
"99","99633","A01","0","NEG","V",0
"100","100650","A01","0","NEG","V",0
"101","101666","A01","0","NEG","V",0
"102","102683","A01","0","NEG","V",0
"103","103699","A01","0","NEG","V",0
"104","104716","A01","0","NEG","V",0
"105","105733","A01","0","NEG","V",0
"106","106749","A01","0","NEG","V",0
"107","107766","A01","0","NEG","V",0
"108","108783","A01","0","NEG","V",0
"109","109799","A01","0","NEG","V",0
"110","110816","A01","0","NEG","V",0
"111","111832","A01","0","NEG","V",0
"112","112849","A01","0","NEG","V",0
"113","113866","A01","0","NEG","V",0
"114","114882","A01","0","NEG","V",0
"115","115899","A01","0","NEG","V",0
"116","116916","A01","0","NEG","V",0
