"","id","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","20150428_results","NEG","V",0,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","20150428_results","A2708","V",0,TRUE,"logistic",FALSE,FALSE,100,4.68704529125124e-05,18054.7503286865,0.355217329514442,85032.2521731808,2.03493775874934e-05,1889.89978186143,0.00643873705515147,1.33957267810858e-05,8.0345179043939e-05,14945.8651875245,21163.6354698486,0.344625607058717,0.365809051970166,6.9856728410254e-06,8.67552329839994e-05,14350.5467562381,21758.9539011349,0.342597404886345,0.367837254142538,4.83947835368584e-05,19362.9442708447,0.631233494470168,85312.7754805301,4.79737512056225e-05,19708.0728562138,0.630914829305962,85128.6504536807,1.75397165130374e-06,3076.97209369191,0.000806400283615636,286.323242836492,4.50884678392279e-05,5.08590345720172e-05,14646.4537620907,24769.691950337,0.629588300839414,0.63224135777251,84657.6487192147,85599.6521881468,4.45359667690672e-05,5.14115356421778e-05,13677.2075525777,25738.93815985,0.629334284750075,0.632495373861849,84567.4568977212,85689.8440096403
"3","20150428_results","A2708","V",0,TRUE,"logistic",FALSE,FALSE,100,4.00269950573749e-05,16693.4641895323,0.350337855020243,84135.4323532535,1.64322684959975e-05,2063.46379803968,0.00645555905659669,1.2995913381459e-05,6.70580767332909e-05,13299.0662417571,20087.8621373076,0.339718460372141,0.360957249668344,7.81974880521976e-06,7.22342413095301e-05,12649.0751453746,20737.8532336901,0.337684959269313,0.362990750771172,5.09002141406788e-05,19777.0544982172,0.632079263622174,84338.6341874159,4.94689314484409e-05,19198.7891959555,0.6319566318024,84149.1622699589,3.91900058467888e-06,3159.08473354394,0.00129095330329695,262.026918515469,4.30221754866441e-05,5.59156874102376e-05,14002.0948092757,24395.4835826352,0.629833013618477,0.634080249986324,83718.127989001,84580.1965509169,4.17876903024703e-05,5.71501725944115e-05,13006.9831182093,25390.5952737016,0.629426363327938,0.634486900276862,83635.5895096686,84662.7350302493
"4","20150428_results","NEG","V",10,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","20150428_results","A2708","V",10,TRUE,"logistic",FALSE,FALSE,100,3.59021175370608e-05,28269.4957992768,0.321990371172328,73565.5341755881,1.41525499575811e-05,2030.08125479605,0.00591936467577467,1.26211728568399e-05,5.91830622172817e-05,24930.0121351373,31608.9794634163,0.312253016280679,0.331727726063977,8.16311962020185e-06,6.36411154539197e-05,24290.5365398766,32248.4550586771,0.31038841640781,0.333592325936847,4.53799947723002e-05,31380.5017703561,0.553164497252645,73843.3090377489,4.48665652142161e-05,33313.8488185678,0.552609133317611,73637.1840946364,1.73211018065542e-06,3343.86871042292,0.00207767036770592,338.866011683327,4.20172439670379e-05,4.77158864613943e-05,27813.1847899221,38814.5128472135,0.549191365562735,0.556026901072488,73079.7495054173,74194.6186838555,4.14716292601315e-05,4.82615011683007e-05,26759.8661461388,39867.8314909967,0.548536899396908,0.556681367238315,72973.0067117371,74301.3614775357
"6","20150428_results","A2708","V",10,TRUE,"logistic",FALSE,FALSE,100,3.34612333661805e-05,27183.8014934817,0.324745331241455,74427.9416141107,1.3204577063781e-05,2198.92996820851,0.00621543737754883,1.17397040962608e-05,5.51827626361002e-05,23566.5616957787,30801.0412911847,0.314520936755387,0.334969725727522,7.58026232116981e-06,5.93422044111912e-05,22873.898755793,31493.7042311703,0.312563073981459,0.33692758850145,4.5387107962509e-05,31078.0517020281,0.555784845562403,74672.1048947078,4.56612022652789e-05,32294.3220125547,0.555032596799022,74402.2215841367,1.6018342092289e-06,3207.53023301661,0.002266561973483,409.081418272366,4.30261849910974e-05,4.82962195394604e-05,27017.9347792424,37570.709245867,0.551304102352643,0.558761091245402,73729.2826510787,75075.1605171947,4.25216072151903e-05,4.88007973153676e-05,26007.5627558422,38581.0812692673,0.550590135330996,0.559475058267049,73600.4220043229,75204.0211639505
"7","20150428_results","NEG","V",50,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","20150428_results","A2708","V",50,TRUE,"logistic",FALSE,FALSE,100,2.43079706528939e-05,78671.090878042,0.240787034049278,42764.0369939575,1.19798344555631e-05,2801.59692418736,0.0066414708219474,4.60114297349258e-06,4.40147983322951e-05,74062.4639377538,83279.7178183302,0.229861814547175,0.251712253551382,8.27495119990211e-07,4.77884461857975e-05,73179.9609066348,84162.2208494492,0.227769751238261,0.253804316860295,3.6566927628041e-05,84410.5409353385,0.529401688961478,43059.9961004296,3.61953666181975e-05,89038.0298823494,0.528741965418926,42922.1805201228,1.25791101815998e-06,4193.97222154366,0.00177323760245389,239.716696969286,3.41261029933243e-05,3.82646302430706e-05,82138.9455779101,95937.1141867887,0.525824989562889,0.531658941274962,42527.8465536084,43316.5144866373,3.37298610226039e-05,3.8660872213791e-05,80817.8443281238,97258.2154365749,0.525266419718116,0.532217511119735,42452.335794063,43392.0252461826
"9","20150428_results","A2708","V",50,TRUE,"logistic",FALSE,FALSE,100,4.50890786321427e-05,18847.482995353,0.341590368515437,81499.9061729983,2.05837470296632e-05,1986.45033098611,0.00652029178617637,1.12288147683468e-05,7.89493424959386e-05,15579.7722008808,22115.1937898251,0.330864488527177,0.352316248503697,4.74493445400295e-06,8.54332228102825e-05,14954.0403466202,22740.9256440857,0.328810596614531,0.354370140416343,4.71056814237169e-05,20370.3383875189,0.632636882556216,81812.648552274,4.64606130963219e-05,21209.1202307776,0.632812759217996,81623.3864775903,1.67746600256602e-06,3758.81263149523,0.00132501458550824,293.015350857347,4.37011815221008e-05,4.9220044670543e-05,15025.8734519679,27392.3670095872,0.630633110224835,0.634992408211157,81141.3762254299,82105.3967297506,4.31727797312925e-05,4.97484464613513e-05,13841.8474730469,28576.3929885082,0.6302157306304,0.635409787805592,81049.0763899099,82197.6965652707
"10","20150428_results","NEG","V",100,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
